"Day","Product variant SKU","Product ID","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Net items sold","Day (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Returns (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)","Net items sold (previous_period)","Orders (previous_period) ","Gross sales (previous_period) ","Discounts (previous_period) ","Returns (previous_period) ","Net sales (previous_period) ","Shipping charges (previous_period) ","Duties (previous_period) ","Additional fees (previous_period) ","Taxes (previous_period) ","Total sales (previous_period) ","Net items sold (previous_period) "
"2026-05-01","K25-34",7902973100219,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",1,1790,0,0,1790,0,0,0,0,1790,1,0,11.173,,,11.173,,,,,11.173,0
"2026-05-01","PVR187-32",8071057506491,3,6870,0,0,6870,0,0,0,0,6870,3,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","C225-30",8106777018555,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1790,0,0,1790,0,0,0,0,1790,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","JR2-34",7980574277819,3,7770,0,0,7770,0,0,0,0,7770,3,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,200,200,,,200,,,,,200,200
"2026-05-01","JR35-36",8225084899515,2,2980,0,0,2980,0,0,0,0,2980,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR11-38",8008514175163,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVR188-36",8071058129083,4,9160,0,0,9160,0,0,0,0,9160,4,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","CMSL8",8073786982587,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,4990,0,0,4990,0,0,0,0,4990,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PV177-30",8008727003323,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K152-40",7903697338555,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR20-40",8154527924411,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PVRT2-42",8136373174459,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","CMK160",8009476112571,1,3391.5,0,0,3391.5,0,0,0,0,3391.5,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PV24-36",7903697928379,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR30-32",7980574867643,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","K164-32",8030145773755,1,2290,0,0,2290,0,0,0,0,2290,1,"2026-04-06",1,2290,0,0,2290,0,0,0,0,2290,1,0,0,,,0,,,,,0,0
"2026-05-01","JR37-40",8160085475515,2,5180,0,0,5180,0,0,0,0,5180,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
